6.148   0.09697
6.005   0.10264
5.841   0.11370
5.636   0.12738
5.469   0.13951
5.311   0.15279
5.161   0.16545
4.982   0.18120
4.832   0.19399
4.657   0.20768
4.494   0.21983
4.343   0.23268
4.201   0.24629
4.068   0.25775
3.968   0.26070
3.815   0.27282
3.726   0.27594
3.591   0.27594
3.503   0.27594
3.410   0.27282
3.314   0.26974
3.214   0.26669
3.128   0.26070
3.054   0.25484
2.983   0.24629
2.902   0.23534
2.845   0.22745
2.783   0.21489
2.724   0.20301
2.668   0.18963
2.624   0.17713
2.572   0.16358
2.531   0.15279
2.487   0.13951
2.454   0.12738
2.431   0.11500
2.408   0.10381
2.381   0.09161
2.364   0.08177
2.342   0.07298
2.325   0.06514
2.305   0.05881
2.284   0.05249
2.260   0.04685
2.240   0.04181
2.221   0.03775
2.202   0.03369
2.180   0.03007
2.165   0.02684
2.147   0.02396
2.136   0.02163
2.119   0.01887
2.108   0.01703
2.091   0.01503
2.084   0.01342
2.071   0.01184
2.058   0.01045
2.048   0.00933
2.041   0.00832
2.032   0.00726
2.022   0.00656
2.013   0.00572
2.003   0.00511
1.997   0.00456
1.991   0.00402
1.982   0.00351
1.975   0.00317
1.969   0.00276
1.963   0.00247
1.957   0.00215
1.951   0.00192
1.946   0.00169
1.940   0.00150
1.934   0.00130
1.931   0.00118
1.922   0.00103
1.919   0.00093
1.914   0.00082
1.908   0.00072
1.902   0.00063
1.897   0.00056
1.894   0.00050
1.888   0.00043
1.883   0.00039
1.877   0.00035
1.872   0.00030
1.867   0.00027
1.861   0.00023
1.858   0.00021
1.853   0.00018
1.848   0.00016
